,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1859,627450,Kern County,CA,Kern County CA,Norris Elementary,66.0,69.0,32.95
1860,627480,San Benito County,CA,San Benito County CA,North County Joint Union Elementary,69.0,65.0,16.15
1861,627510,Shasta County,CA,Shasta County CA,North Cow Creek Elementary,72.0,77.0,24.0
1862,627590,Monterey County,CA,Monterey County CA,North Monterey County Unified,43.0,38.0,24.5
1863,627690,Los Angeles County,CA,Los Angeles County CA,Norwalk-La Mirada Unified,56.0,57.0,25.75
1864,627720,Marin County,CA,Marin County CA,Novato Unified,69.0,69.0,9.8
1865,627750,Sutter County,CA,Sutter County CA,Nuestro Elementary,34.0,51.0,22.45
1866,627780,Riverside County,CA,Riverside County CA,Nuview Union,57.0,51.0,23.05
1867,627810,Santa Clara County,CA,Santa Clara County CA,Oak Grove Elementary,60.0,60.0,12.3
1868,627840,Sonoma County,CA,Sonoma County CA,Oak Grove Union Elementary,69.0,74.0,13.8
1869,627850,Ventura County,CA,Ventura County CA,Oak Park Unified,84.0,90.0,15.45
1870,627870,Shasta County,CA,Shasta County CA,Oak Run Elementary,50.0,50.0,24.0
1871,627900,Tulare County,CA,Tulare County CA,Oak Valley Union Elementary,60.0,62.0,36.8
1872,627930,San Joaquin County,CA,San Joaquin County CA,Oak View Union Elementary,71.0,70.0,22.8
1873,628050,Alameda County,CA,Alameda County CA,Oakland Unified,51.0,48.0,16.0
1874,628080,Contra Costa County,CA,Contra Costa County CA,Oakley Union Elementary,55.0,60.0,13.7
1875,628140,Orange County,CA,Orange County CA,Ocean View,72.0,70.0,17.0
1876,628170,Ventura County,CA,Ventura County CA,Ocean View,47.0,40.0,15.45
1877,628250,San Diego County,CA,San Diego County CA,Oceanside Unified,59.0,55.0,19.1
1878,628270,Ventura County,CA,Ventura County CA,Ojai Unified,58.0,68.0,15.45
1879,628320,Sonoma County,CA,Sonoma County CA,Old Adobe Union,58.0,64.0,13.8
1880,628470,San Bernardino County,CA,San Bernardino County CA,Ontario-Montclair Elementary,55.0,46.0,25.55
1881,628530,Fresno County,CA,Fresno County CA,Orange Center,40.0,26.0,35.25
1882,628650,Orange County,CA,Orange County CA,Orange Unified,66.0,67.0,17.0
1883,628680,Santa Clara County,CA,Santa Clara County CA,Orchard Elementary,55.0,52.0,12.3
1884,628710,Santa Barbara County,CA,Santa Barbara County CA,Orcutt Union Elementary,61.0,63.0,20.6
1885,628830,Humboldt County,CA,Humboldt County CA,Orick Elementary,50.0,50.0,24.8
1886,628860,Contra Costa County,CA,Contra Costa County CA,Orinda Union Elementary,91.0,93.0,13.7
